date,year,season,companyCode,companyName,genre,EPS,shareValue,revenue,netIncome,comprehensiveIcome,IncomeAfterTax
"1120101","111","3","1101","臺灣水泥股份有限公司","水泥工業","0.38","新台幣                 10.0000元","79274330.00","-1172518.00","4013202.00","1554383.00"
"1120101","111","3","1102","亞洲水泥股份有限公司","水泥工業","3.44","新台幣                 10.0000元","66093948.00","7496621.00","6662819.00","11959147.00"
"1120101","111","3","1103","嘉新水泥股份有限公司","水泥工業","-0.33","新台幣                 10.0000元","1593823.00","-324152.00","157609.00","-210339.00"
"1120101","111","3","1104","環球水泥股份有限公司","水泥工業","2.20","新台幣                 10.0000元","5063948.00","550837.00","1026592.00","1459070.00"
"1120101","111","3","1108","幸福水泥股份有限公司","水泥工業","0.75","新台幣                 10.0000元","2946179.00","395112.00","-17639.00","304720.00"
"1120101","111","3","1109","信大水泥股份有限公司","水泥工業","0.83","新台幣                 10.0000元","4675441.00","601445.00","77295.00","362635.00"
"1120101","111","3","1110","東南水泥股份有限公司","水泥工業","0.07","新台幣                 10.0000元","1231013.00","-8900.00","28382.00","15893.00"
"1120101","111","3","1201","味全食品工業股份有限公司","食品工業","0.65","新台幣                 10.0000元","15214414.00","418407.00","7707.00","327082.00"
"1120101","111","3","1203","味王股份有限公司","食品工業","2.26","新台幣                 10.0000元","4705786.00","648483.00","276942.00","744939.00"
"1120101","111","3","1210","大成長城企業股份有限公司","食品工業","1.88","新台幣                 10.0000元","82816416.00","2141096.00","451267.00","2062049.00"
"1120101","111","3","1213","大西洋飲料股份有限公司","食品工業","-1.08","新台幣                 10.0000元","298234.00","-55389.00","-5943.00","-61202.00"
"1120101","111","3","1215","台灣卜蜂企業股份有限公司","食品工業","4.05","新台幣                 10.0000元","21251007.00","1522225.00","-47078.00","1182348.00"
"1120101","111","3","1216","統一企業股份有限公司","食品工業","2.57","新台幣                 10.0000元","396497245.00","24073637.00","5458311.00","22369326.00"
"1120101","111","3","1217","愛之味股份有限公司","食品工業","0.59","新台幣                 10.0000元","3843896.00","217835.00","129714.00","299898.00"
"1120101","111","3","1218","泰山企業股份有限公司","食品工業","0.88","新台幣                 10.0000元","8450224.00","132465.00","320503.00","429818.00"
"1120101","111","3","1219","福壽實業股份有限公司","食品工業","0.95","新台幣                 10.0000元","12650048.00","303701.00","51085.00","292390.00"
"1120101","111","3","1220","台榮產業股份有限公司","食品工業","0.20","新台幣                 10.0000元","2555000.00","54316.00","18904.00","57270.00"
"1120101","111","3","1225","福懋油脂股份有限公司","食品工業","1.56","新台幣                 10.0000元","11244609.00","347437.00","59880.00","334694.00"
"1120101","111","3","1227","佳格食品股份有限公司","食品工業","1.07","新台幣                 10.0000元","20399539.00","1163594.00","164634.00","1024780.00"
"1120101","111","3","1229","聯華實業投資控股股份有限公司","食品工業","2.21","新台幣                 10.0000元","9246716.00","1533411.00","2758330.00","4223049.00"
"1120101","111","3","1231","聯華食品工業股份有限公司","食品工業","2.71","新台幣                 10.0000元","7762956.00","803976.00","-39670.00","606189.00"
"1120101","111","3","1232","大統益股份有限公司","食品工業","6.12","新台幣                 10.0000元","17687951.00","1110830.00","166804.00","1009473.00"
"1120101","111","3","1233","天仁茶業股份有限公司","食品工業","0.31","新台幣                 10.0000元","1312952.00","-11766.00","39331.00","28094.00"
"1120101","111","3","1234","黑松股份有限公司","食品工業","1.73","新台幣                 10.0000元","6964779.00","464944.00","377428.00","693895.00"
"1120101","111","3","1235","興泰實業股份有限公司","食品工業","1.39","新台幣                 10.0000元","48843.00","17817.00","161906.00","179706.00"
"1120101","111","3","1236","宏亞食品股份有限公司","食品工業","3.69","新台幣                 10.0000元","1461131.00","-21276.00","460506.00","400207.00"
"1120101","111","3","1256","鮮活控股股份有限公司","食品工業","9.94","新台幣                 10.0000元","3437315.00","461720.00","72604.00","386741.00"
"1120101","111","3","1301","台灣塑膠工業股份有限公司","塑膠工業","6.84","新台幣                 10.0000元","200581272.00","29106163.00","22034092.00","43536106.00"
